,React1,React2,React3,Prod1,Prod2,Prod3,Prod4,Tmin,Tmax,Type,Number
40,HS,CRP,-,S,H,-,-,0.0,9999.0,2,41
78,HSS,CRP,-,S,HS,-,-,0.0,9999.0,2,79
108,H2S2,CRP,-,HS,HS,-,-,0.0,9999.0,2,109
299,Photon,HS,-,S,H,-,-,0.0,9999.0,3,300
328,Photon,H2S,-,HS,H,-,-,0.0,9999.0,3,329
503,O,HCS,-,HS,CO,-,-,0.0,500.0,4,504
505,O,H2S,-,OH,HS,-,-,0.0,500.0,4,506
557,S,HS,-,S2,H,-,-,0.0,500.0,4,558
627,HS,HS,-,S,H2S,-,-,0.0,500.0,4,628
637,OH,H2S,-,HS,H2O,-,-,0.0,500.0,4,638
712,HS,H,-,S,H2,-,-,0.0,500.0,4,713
741,H2S,H,-,HS,H2,-,-,0.0,500.0,4,742
746,OCS,H,-,HS,CO,-,-,0.0,500.0,4,747
761,N,HS,-,NS,H,-,-,0.0,500.0,4,762
829,O,HS,-,SO,H,-,-,0.0,500.0,4,830
849,HS,C,-,H,CS,-,-,0.0,500.0,4,850
906,S,HCO,-,HS,CO,-,-,0.0,500.0,4,907
908,OH,CS,-,HS,CO,-,-,0.0,500.0,4,909
910,SO,CH,-,HS,CO,-,-,0.0,500.0,4,911
1319,H2S,Cl,-,HS,HCl,-,-,200.0,430.0,4,1320
1353,NS,H,-,N,HS,-,-,0.0,9999.0,4,1354
1355,SO,H,-,O,HS,-,-,0.0,9999.0,4,1356
1357,S2,H,-,S,HS,-,-,0.0,9999.0,4,1358
1364,HS,H2,-,H2S,H,-,-,0.0,9999.0,4,1365
1368,HS,C,-,S,CH,-,-,0.0,9999.0,4,1369
1384,N,HS,-,S,NH,-,-,0.0,9999.0,4,1385
1397,H2S,CH3,-,HS,CH4,-,-,0.0,9999.0,4,1398
1406,O,HS,-,S,OH,-,-,0.0,9999.0,4,1407
1425,S,H2,-,HS,H,-,-,0.0,9999.0,4,1426
1426,S,CH,-,HS,C,-,-,0.0,9999.0,4,1427
1427,S,NH,-,N,HS,-,-,0.0,9999.0,4,1428
1428,S,OH,-,O,HS,-,-,0.0,9999.0,4,1429
1439,HS,CO,-,OCS,H,-,-,0.0,9999.0,4,1440
1459,HS,C+,-,H,CS+,-,-,0.0,155.0,4,1460
1460,HS,C+,-,H,CS+,-,-,155.0,800.0,4,1461
1676,N+,H2S,-,NH+,HS,-,-,0.0,9999.0,4,1677
1723,S+,H2CO,-,HS,HCO+,-,-,0.0,800.0,4,1724
1732,S+,C4H2,-,HS,C4H+,-,-,0.0,500.0,4,1733
1762,He+,H2S2,-,He,HS+,HS,-,0.0,166.0,4,1763
1763,He+,H2S2,-,He,HS+,HS,-,166.0,800.0,4,1764
1925,He+,HS,-,S+,He,H,-,0.0,155.0,4,1926
1926,He+,HS,-,S+,He,H,-,155.0,800.0,4,1927
1997,He+,HSS,-,S+,He,HS,-,0.0,500.0,4,1998
2129,HS,H+,-,S+,H2,-,-,0.0,155.0,4,2130
2130,HS,H+,-,S+,H2,-,-,155.0,800.0,4,2131
2369,HS,H3+,-,H2S+,H2,-,-,0.0,155.0,4,2370
2370,HS,H3+,-,H2S+,H2,-,-,155.0,800.0,4,2371
2677,H2S,CO+,-,HS,HCO+,-,-,0.0,500.0,4,2678
2708,HS+,H2S,-,HS,H2S+,-,-,0.0,9999.0,4,2709
2734,SiS+,H,-,Si+,HS,-,-,0.0,500.0,4,2735
2834,HS,CH3+,-,H2CS+,H2,-,-,0.0,155.0,4,2835
2835,HS,CH3+,-,H2CS+,H2,-,-,155.0,800.0,4,2836
2930,H2S,H2O+,-,HS,H3O+,-,-,0.0,500.0,4,2931
2972,HS,HCO+,-,H2S+,CO,-,-,0.0,155.0,4,2973
2973,HS,HCO+,-,H2S+,CO,-,-,155.0,800.0,4,2974
3212,H2S+,H2O,-,HS,H3O+,-,-,0.0,800.0,4,3213
3213,H2S+,H2S,-,HS,H3S+,-,-,0.0,500.0,4,3214
3214,NH3,H2S+,-,NH4+,HS,-,-,0.0,800.0,4,3215
3259,NH3+,H2S,-,NH4+,HS,-,-,0.0,500.0,4,3260
3545,NH2+,H2S,-,NH3+,HS,-,-,0.0,500.0,4,3546
3726,H2S,C2H2+,-,HS,C2H3+,-,-,0.0,500.0,4,3727
5427,HS+,Fe,-,HS,Fe+,-,-,0.0,500.0,5,5428
5428,Mg,HS+,-,Mg+,HS,-,-,0.0,500.0,5,5429
5429,Na,HS+,-,Na+,HS,-,-,0.0,500.0,5,5430
5430,S,HS+,-,S+,HS,-,-,0.0,500.0,5,5431
5431,Si,HS+,-,Si+,HS,-,-,0.0,500.0,5,5432
5432,NO,HS+,-,NO+,HS,-,-,0.0,12.0,5,5433
5433,NO,HS+,-,NO+,HS,-,-,12.0,800.0,5,5434
5742,HS,H+,-,HS+,H,-,-,0.0,155.0,5,5743
5743,HS,H+,-,HS+,H,-,-,155.0,800.0,5,5744
5852,NH3,HS+,-,NH3+,HS,-,-,0.0,800.0,5,5853
6585,S-,H,-,HS,E,-,-,0.0,500.0,7,6586
6831,H2S+,E,-,HS,H,-,-,0.0,500.0,8,6832
6847,HSiS+,E,-,Si,HS,-,-,0.0,500.0,8,6848
6862,HS2+,E,-,S,HS,-,-,0.0,500.0,8,6863
7070,H2S2+,E,-,HS,HS,-,-,0.0,500.0,8,7071
7078,H3S+,E,-,HS,H,H,-,0.0,500.0,8,7079
7285,HS,-,-,JHS,-,-,-,-9999.0,9999.0,20,7286
8075,JS,JH,-,HS,-,-,-,-9999.0,9999.0,14,8076
8081,JH2S,JH,-,HS,H2,-,-,-9999.0,9999.0,14,8082
8090,JOCS,JH,-,HS,CO,-,-,-9999.0,9999.0,14,8091
8093,JSO2,JH,-,O2,HS,-,-,-9999.0,9999.0,14,8094
8935,JHS,-,-,HS,-,-,-,-9999.0,9999.0,21,8936
9276,JHS,-,-,HS,-,-,-,-9999.0,9999.0,22,9277
9617,JHS,-,-,HS,-,-,-,-9999.0,9999.0,27,9618
9957,JHS,-,-,HS,-,-,-,-9999.0,9999.0,26,9958
